Word,Count
*,545
:,375
**********************************************************************************************************************,252
void,152
Function,112
Description,110
Name:,110
Value,98
Return,97
Arguments,92
,90
=,74
By,65
Called,65
invalid,51
stall,38
},37
{,37
the,35
#define,28
&,28
reset,27
/,27
|,26
<<,26
LIN,25
for,24
and,24
-,24
else,22
모터,22
>=,21
data,20
~,20
4),19
is,19
None,19
2,18
function,18
(Case,18
chk,17
step,17
→,17
OPEN,17
모드,17
read,16
정지,16
to,16
if,16
test,15
write,15
This,15
4byte,15
2byte,15
및,15
//,14
&&,14
not,14
->,14
on,14
user,14
case,14
3,14
1,14
==,14
초기화,13
Main,13
4,13
<=,13
대기,13
Slave_TxData[4],13
Motor,13
0,13
code,13
(Step,12
generated,12
시,12
comment,12
if(fail_safety_step,12
here,12
Do,12
=========================================================================================,12
edit,12
Invalid,11
start,11
후,11
PPS,11
Check,11
동작,11
limitstep,11
체크,10
SPI,10
motor,10
interrupt,10
Step,10
AAF,10
Status,10
reception,10
진입,9
완료,9
CLOSE,9
timer,9
buffer,9
구동,9
다음,9
SX3k,9
진단,8
Fail-Safety,8
감지,8
따라,8
Timer,8
Variables,8
Sleep,8
0xFFU),8
Mode,8
600,8
Only,8
of,8
only,8
공통,8
160,8
15U),7
||,7
슬립,7
drv,7
5,7
Start,7
설정함,7
(원본,7
sx3k,7
dir,7
response,7
mode,7
ADC,7
상태,7
발생,7
MCU_DRVOFF,7
10),7
in,7
목표,7
Handles,7
invaild,7
setting,7
2),7
보호,7
Loop,7
checksum,7
error,7
또는,7
Protection,6
array,6
확인,6
시퀀스,6
or,6
스톨,6
Functions,6
detection,6
방향,6
Slave_TxData[5],6
MCU_DIR,6
위치,6
next_step,6
3분,6
logic,6
main,6
End,6
0),6
init,6
%,6
로직),6
MCU,6
0;,6
(uint8_t)((fail_safety_step,6
Communication,6
status,6
16U),6
10));,6
플래그,5
이동,5
Init_move,5
모터를,5
1:,5
최종,5
App_SwLogic,5
에러,5
((rx_16bit_spi[9],5
uint8_t,5
상태를,5
시작,5
Re_Init,5
next,5
3),5
Defines,5
position,5
Spi_Check,5
Renesas,5
위해,5
중,5
value,5
명령을,5
1ms,5
flag,5
단계로,5
(RW)CTRL,5
Direction,5
[Sequence,5
RPM,5
AAFx_Mode,5
Global,5
10s,5
all,5
(motor_stall_value,5
a,5
Condition,5
RLIN30,5
Thresholds,5
수행함,5
제어,5
사이클,5
도달,4
타겟,4
위치를,4
(motor_step_value,4
check,4
모드로,4
10,4
CCW,4
FailSafety_Mode,4
command,4
단계,4
Logic,4
move,4
135,4
145,4
change,4
ON;,4
slew,4
Clear,4
transmission,4
수행,4
6,4
direction,4
Type,4
LinSleep_Cycle2,4
by,4
software,4
드라이버,4
Sets,4
LinSleep_Cycle1,4
이동할,4
처리,4
Steps,4
실행,4
OF,4
lin,4
ID,4
acceleration,4
+,4
Safety,4
NOT,4
(R),4
2:,4
60,4
