File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\r_cg_main.c,181,66,50,1,34,4,81,535,32,252
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Config\Config.h,361,317,311,0,29,3,15,80,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Config\Define.h,378,186,3,2,73,29,119,435,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Config\Config.c,326,283,244,0,31,26,12,143,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Dio.h,11,6,2,0,5,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Drv8889.h,26,17,13,0,9,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Lin_Driver.h,16,10,6,0,6,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Dio.c,13,9,4,0,4,2,0,2,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Drv8889.c,148,126,81,13,21,19,1,21,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Lin_Driver.c,190,108,76,5,23,27,59,448,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\ISR\Lin_Interrupt.h,16,10,4,0,6,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\ISR\Lin_Interrupt.c,115,74,47,7,12,7,29,159,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Sensing\Adc_Check.h,13,6,2,0,7,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Sensing\Stall_Check.h,15,8,4,0,7,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Sensing\Adc_Check.c,141,106,67,13,27,1,8,10,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Sensing\Stall_Check.c,118,66,29,7,8,0,44,217,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\AntiPinch.h,14,7,3,0,7,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Error_Check.h,20,12,8,0,8,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.h,22,14,10,0,8,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Fdl.h,15,9,3,0,6,1,0,2,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.h,19,13,9,0,6,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Limp_Home.h,14,5,1,0,9,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Check.h,23,16,12,0,7,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Service.h,14,9,4,0,5,0,0,0,0,0
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Lin_Sleep.h,26,19,15,0,7,0,0,0,0,0
