File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\r_cg_main.c,main(void),20,14,12,1,4,0,2,22,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\r_cg_main.c,r_main_userinit(void),6,4,4,0,0,0,2,22,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\r_cg_main.c,AAF_SetType(void),20,11,11,0,5,3,4,20,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\r_cg_main.c,AAF_Init(void),26,14,14,0,9,1,3,23,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\r_cg_main.c,AAF_App(void),12,5,5,0,3,0,4,21,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Dio.c,LinTrcv_On(void),2,2,2,0,0,1,0,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Dio.c,LinTrcv_Off(void),2,2,2,0,0,1,0,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Drv8889.c,Drv8889_Init(void),6,6,6,0,0,5,0,5,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Drv8889.c,Drv8889_Wakeup(void),4,4,4,0,0,3,0,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Drv8889.c,Drv8889_Sleep(void),6,6,6,0,0,5,0,5,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Drv8889.c,Drv8889_On(void),2,2,2,0,0,1,0,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Driver\Drv8889.c,Drv8889_On2(void),2,2,2,0,0,1,0,1,
